Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,53.3%,56.5%,52.7%,54.2%,52.9%,53.9%,52.2%,48.5%,49.3%,44.9%,38.5%,39.3%,36.7%
Engg.,48.7%,45.0%,45.5%,46.9%,49.0%,48.3%,50.5%,48.1%,48.3%,47.2%,49.2%,46.5%,43.5%
Marine Cargo,68.9%,67.7%,68.2%,67.1%,67.5%,70.2%,72.8%,73.6%,73.2%,70.9%,69.3%,67.9%,62.9%
Marine Hull,15.1%,13.8%,14.3%,18.2%,18.9%,22.2%,23.9%,31.0%,25.9%,16.7%,25.1%,23.2%,26.0%
Motor OD,82.3%,86.5%,87.8%,89.1%,89.5%,88.3%,91.2%,90.4%,90.1%,86.8%,87.6%,84.7%,81.9%
Motor TP,55.0%,57.7%,59.5%,59.6%,57.6%,86.7%,90.2%,91.8%,92.4%,89.7%,87.6%,90.3%,88.7%
Aviation,11.4%,15.8%,27.8%,25.5%,19.2%,30.8%,19.6%,24.3%,23.6%,57.4%,31.0%,31.1%,42.0%
Health,79.5%,85.1%,84.2%,84.4%,86.4%,84.1%,88.9%,90.8%,89.6%,85.2%,79.8%,79.8%,80.1%
Personal accident,68.5%,72.0%,74.3%,79.5%,78.7%,81.6%,86.0%,86.9%,84.1%,83.4%,83.8%,82.0%,83.9%
Liability,64.6%,66.8%,62.2%,67.3%,64.0%,66.4%,69.8%,69.8%,63.7%,62.8%,62.5%,59.6%,57.0%
Other Misc.,73.2%,77.1%,73.8%,68.8%,64.5%,58.6%,59.6%,57.5%,59.4%,32.3%,32.8%,30.3%,28.7%
TOTAL,66.7%,70.1%,70.3%,71.3%,70.1%,75.2%,78.1%,78.9%,79.5%,70.2%,68.6%,68.4%,66.7%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,53.3%,56.5%,52.7%,54.2%,52.9%,53.9%,52.2%,48.5%,49.3%,44.9%,38.5%,39.3%,36.7%
Engg.,48.7%,45.0%,45.5%,46.9%,49.0%,48.3%,50.5%,48.1%,48.3%,47.2%,49.2%,46.5%,43.5%
Marine Cargo,68.9%,67.7%,68.2%,67.1%,67.5%,70.2%,72.8%,73.6%,73.2%,70.9%,69.3%,67.9%,62.9%
Marine Hull,15.1%,13.8%,14.3%,18.2%,18.9%,22.2%,23.9%,31.0%,25.9%,16.7%,25.1%,23.2%,26.0%
Motor OD,82.3%,86.5%,87.8%,89.1%,89.5%,88.3%,91.2%,90.4%,90.1%,86.8%,87.6%,84.7%,81.9%
Motor TP,55.0%,57.7%,59.5%,59.6%,57.6%,86.7%,90.2%,91.8%,92.4%,89.7%,87.6%,90.3%,88.7%
Aviation,11.4%,15.8%,27.8%,25.5%,19.2%,30.8%,19.6%,24.3%,23.6%,57.4%,31.0%,31.1%,42.0%
Health,79.6%,86.1%,86.1%,85.7%,87.5%,84.7%,89.5%,91.8%,91.7%,86.3%,80.0%,80.2%,81.8%
Personal accident,69.6%,73.0%,74.2%,79.7%,79.0%,82.0%,86.5%,87.4%,84.6%,83.9%,84.2%,81.9%,83.6%
Liability,64.6%,66.8%,62.2%,67.3%,64.0%,66.4%,69.8%,69.8%,63.7%,62.8%,62.5%,59.6%,57.0%
Other Misc.,69.4%,71.7%,69.4%,65.7%,69.2%,62.6%,61.7%,54.4%,55.0%,32.6%,34.4%,30.5%,29.1%
TOTAL,66.1%,69.4%,69.8%,71.1%,70.5%,76.5%,79.2%,79.5%,80.3%,72.3%,70.6%,69.7%,68.3%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,76.9%,73.5%,71.2%,75.9%,78.5%,79.0%,84.6%,84.9%,79.1%,80.4%,79.2%,78.2%,75.6%
Personal accident,31.2%,33.7%,83.9%,71.3%,65.7%,62.1%,70.9%,74.7%,76.3%,77.5%,79.4%,82.8%,85.7%
Other Misc.,-,85.0%,52.0%,52.9%,70.1%,81.3%,86.5%,86.4%,87.5%,-,80.5%,-,-
TOTAL,71.3%,71.9%,71.3%,75.7%,78.2%,78.6%,84.2%,84.6%,79.0%,80.3%,79.3%,78.4%,76.0%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,78.9%,85.5%,79.2%,72.4%,59.2%,54.5%,57.1%,62.2%,64.7%,31.7%,28.7%,29.8%,27.7%

