Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,2424,2354,2562,2954,3476,4135,4702,4621,5022,5050,5124,5170,6237
Engg.,733,769,830,959,1178,1344,1448,1394,1317,1280,1160,1222,1225
Marine Cargo,685,817,887,981,1163,1370,1596,1790,1659,1665,1619,1716,1792
Marine Hull,81,126,119,146,197,226,282,312,364,251,143,183,205
Motor OD,6653,7345,8097,9902,12324,14807,16990,18330,19515,21049,23032,24001,23741
Motor TP,3099,4027,4662,5368,7326,10000,12558,15210,17982,21544,26118,31211,36533
Aviation,51,50,110,141,111,187,143,144,160,158,176,194,353
Health,3220,5009,6429,8717,10615,12129,14404,17117,20675,25376,28531,33879,39551
Personal accident,501,607,694,845,998,1170,1402,1654,1990,2582,3326,3967,4242
Liability,363,416,460,543,640,745,861,921,1195,1322,1198,1420,1481
Other Misc.,2748,2917,3436,4028,4613,5115,5623,5936,5998,8447,10025,10372,10819
TOTAL,20558,24439,28287,34585,42641,51226,60010,67428,75878,88725,100453,113334,126179

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,2424,2354,2562,2954,3476,4135,4702,4621,5022,5050,5124,5170,6237
Engg.,733,769,830,959,1178,1344,1448,1394,1317,1280,1160,1222,1225
Marine Cargo,685,817,887,981,1163,1370,1596,1790,1659,1665,1619,1716,1792
Marine Hull,81,126,119,146,197,226,282,312,364,251,143,183,205
Motor OD,6653,7345,8097,9902,12324,14807,16990,18330,19515,21049,23032,24001,23741
Motor TP,3099,4027,4662,5368,7326,10000,12558,15210,17982,21544,26118,31211,36533
Aviation,51,50,110,141,111,187,143,144,160,158,176,194,353
Health,3136,4694,5753,7738,9465,11061,12881,15028,17762,21323,23161,26459,29993
Personal accident,497,598,685,827,975,1146,1367,1602,1883,2399,3060,3559,3766
Liability,363,416,460,543,640,745,861,921,1195,1322,1198,1420,1481
Other Misc.,1566,1647,1835,2075,2523,2839,3063,3310,3136,5572,7364,7865,8142
TOTAL,19287,22845,26000,31635,39379,47859,55891,62661,69996,81614,92156,103000,113467

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,85,315,676,979,1150,1067,1523,2089,2913,4053,5369,7420,9557
Personal accident,4,9,10,18,22,23,35,52,106,183,267,408,477
Other Misc.,,2,2,2,3,4,6,8,21,,42,,
TOTAL,89,326,688,1000,1175,1095,1564,2149,3041,4236,5678,7828,10034

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,1182,1268,1599,1951,2086,2272,2555,2618,2841,2875,2619,2506,2677

