Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,68.7%,75.7%,79.9%,86.1%,96.8%,68.8%,76.5%,76.6%,74.2%,84.4%,82.4%,90.5%,78.1%
Engg.,37.5%,58.3%,57.1%,60.5%,67.1%,40.9%,73.4%,45.1%,68.7%,63.3%,39.3%,53.4%,79.6%
Marine Cargo,80.0%,89.2%,75.1%,79.1%,78.2%,64.8%,66.2%,65.0%,73.0%,68.2%,58.3%,77.2%,68.3%
Marine Hull,142.2%,194.1%,100.5%,165.1%,116.2%,66.0%,47.4%,81.5%,67.0%,125.3%,144.5%,152.3%,96.6%
Motor OD,58.4%,65.2%,64.0%,64.7%,60.6%,57.2%,56.6%,60.8%,70.3%,72.5%,67.0%,72.9%,78.0%
Motor TP,165.2%,132.1%,120.2%,172.8%,153.6%,135.1%,110.4%,96.8%,93.0%,103.6%,98.0%,104.2%,90.6%
Aviation,90.9%,129.5%,53.0%,101.6%,229.3%,54.3%,153.0%,120.8%,133.9%,116.9%,178.8%,183.9%,113.1%
Health,106.2%,104.9%,108.5%,98.5%,92.8%,93.5%,97.0%,100.7%,101.9%,103.9%,93.6%,90.5%,87.7%
Personal accident,64.5%,93.1%,83.2%,66.0%,55.5%,57.2%,61.8%,58.6%,62.3%,65.2%,78.2%,77.5%,67.1%
Liability,36.4%,41.1%,47.9%,43.4%,34.6%,43.8%,30.2%,31.4%,40.1%,32.3%,35.9%,38.7%,51.0%
Other Misc.,51.8%,52.3%,80.4%,68.4%,61.5%,72.3%,80.1%,86.1%,82.9%,93.7%,87.4%,91.2%,100.1%
TOTAL,82.5%,85.5%,87.3%,92.8%,88.5%,83.1%,81.9%,81.9%,85.0%,90.9%,85.3%,89.2%,85.9%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,68.7%,75.7%,79.9%,86.1%,96.8%,68.8%,76.5%,76.6%,74.2%,84.4%,82.4%,90.5%,78.1%
Engg.,37.5%,58.3%,57.1%,60.5%,67.1%,40.9%,73.4%,45.1%,68.7%,63.3%,39.3%,53.4%,79.6%
Marine Cargo,80.0%,89.2%,75.1%,79.1%,78.2%,64.8%,66.2%,65.0%,73.0%,68.2%,58.3%,77.2%,68.3%
Marine Hull,142.2%,194.1%,100.5%,165.1%,116.2%,66.0%,47.4%,81.5%,67.0%,125.3%,144.5%,152.3%,96.6%
Motor OD,58.4%,65.2%,64.0%,64.7%,60.6%,57.2%,56.6%,60.8%,70.3%,72.5%,67.0%,72.9%,78.0%
Motor TP,165.2%,132.1%,120.2%,172.8%,153.6%,135.1%,110.4%,96.8%,93.0%,103.6%,98.0%,104.2%,90.6%
Aviation,90.9%,129.5%,53.0%,101.6%,229.3%,54.3%,153.0%,120.8%,133.9%,116.9%,178.8%,183.9%,113.1%
Health,107.0%,105.9%,111.1%,100.1%,93.9%,96.5%,100.8%,105.9%,108.9%,112.6%,101.5%,98.3%,94.6%
Personal accident,64.7%,93.8%,83.5%,66.2%,56.3%,57.8%,62.7%,59.5%,64.3%,68.5%,79.0%,83.3%,72.2%
Liability,36.4%,41.1%,47.9%,43.4%,34.6%,43.8%,30.2%,31.4%,40.1%,32.3%,35.9%,38.7%,51.0%
Other Misc.,58.2%,38.9%,48.8%,50.4%,45.0%,50.8%,66.2%,66.8%,67.2%,80.0%,78.6%,86.4%,95.1%
TOTAL,84.9%,86.3%,85.5%,93.4%,89.1%,82.8%,81.7%,81.4%,85.5%,91.7%,86.1%,90.9%,87.1%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,77.8%,88.6%,86.5%,86.1%,83.7%,62.4%,65.2%,63.0%,59.4%,58.0%,59.3%,62.6%,66.0%
Personal accident,43.3%,45.2%,65.2%,55.2%,22.5%,28.9%,25.0%,31.3%,26.8%,22.5%,69.2%,26.4%,26.4%
Other Misc.,,9.9%,33.9%,44.1%,52.3%,21.8%,41.9%,39.8%,49.6%,,36.1%,,
TOTAL,76.3%,87.0%,86.0%,85.4%,82.5%,61.5%,64.2%,62.2%,58.2%,56.5%,59.6%,60.7%,64.1%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,43.5%,69.8%,116,87.5%,81.5%,99.3%,96.7%,110,100,120,112,106.3%,115.4%

