Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,-2.3%,1.1%,1.1%,4.2%,5.6%,5.9%,6.1%,9.2%,8.6%,6.2%,4.1%,6.6%,0.5%
Engg.,-12.1%,-17.5%,-14.6%,-9.8%,-0.2%,-12.9%,0.0%,-3.1%,-2.0%,-2.3%,3.1%,1.3%,4.5%
Marine Cargo,11.1%,9.4%,8.8%,9.7%,9.4%,11.8%,10.9%,10.5%,10.7%,10.1%,12.4%,13.5%,12.9%
Marine Hull,-42.5%,-35.7%,-19.6%,-14.2%,-18.4%,-7.1%,-3.6%,-4.9%,-3.2%,-1.6%,1.6%,1.4%,3.9%
Motor OD,6.2%,7.2%,7.9%,6.5%,6.6%,7.5%,7.8%,6.2%,6.7%,6.2%,14.5%,17.0%,17.6%
Motor TP,-2.4%,-1.6%,-1.4%,-0.6%,1.0%,-1.5%,-0.7%,-0.5%,-0.4%,-1.1%,-1.0%,0.6%,0.3%
Aviation,-15.8%,0.5%,15.6%,14.5%,13.0%,9.6%,2.9%,10.3%,7.4%,11.2%,11.1%,4.6%,7.1%
Health,7.5%,8.0%,6.5%,5.4%,5.2%,4.2%,5.3%,5.6%,5.1%,3.7%,4.3%,4.1%,4.3%
Personal accident,5.0%,8.8%,8.4%,9.4%,8.6%,9.0%,7.8%,8.4%,5.0%,3.6%,3.0%,1.4%,4.9%
Liability,15.8%,13.6%,11.8%,12.2%,11.8%,12.7%,14.5%,14.9%,13.6%,12.6%,14.3%,12.2%,9.2%
Other Misc.,2.4%,5.1%,3.4%,-0.7%,-2.1%,-4.0%,-1.9%,-3.3%,-3.0%,-15.8%,-10.6%,-7.6%,-9.0%
TOTAL,3.0%,4.3%,4.2%,3.9%,4.2%,3.3%,4.3%,4.0%,3.9%,1.6%,3.9%,5.0%,4.5%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,-2.3%,1.1%,1.1%,4.2%,5.6%,5.9%,6.1%,9.2%,8.6%,6.2%,4.1%,6.6%,0.5%
Engg.,-12.1%,-17.5%,-14.6%,-9.8%,-0.2%,-12.9%,0.0%,-3.1%,-2.0%,-2.3%,3.1%,1.3%,4.5%
Marine Cargo,11.1%,9.4%,8.8%,9.7%,9.4%,11.8%,10.9%,10.5%,10.7%,10.1%,12.4%,13.5%,12.9%
Marine Hull,-42.5%,-35.7%,-19.6%,-14.2%,-18.4%,-7.1%,-3.6%,-4.9%,-3.2%,-1.6%,1.6%,1.4%,3.9%
Motor OD,6.2%,7.2%,7.9%,6.5%,6.6%,7.5%,7.8%,6.2%,6.7%,6.2%,14.5%,17.0%,17.6%
Motor TP,-2.4%,-1.6%,-1.4%,-0.6%,1.0%,-1.5%,-0.7%,-0.5%,-0.4%,-1.1%,-1.0%,0.6%,0.3%
Aviation,-15.8%,0.5%,15.6%,14.5%,13.0%,9.6%,2.9%,10.3%,7.4%,11.2%,11.1%,4.6%,7.1%
Health,7.8%,8.7%,7.3%,5.7%,5.4%,4.0%,4.8%,5.1%,5.2%,3.3%,4.1%,3.4%,3.7%
Personal accident,5.7%,9.3%,8.7%,9.5%,8.8%,9.2%,8.3%,8.3%,5.1%,3.6%,2.9%,0.9%,4.6%
Liability,15.8%,13.6%,11.8%,12.2%,11.8%,12.7%,14.5%,14.9%,13.6%,12.6%,14.3%,12.2%,9.2%
Other Misc.,7.8%,11.2%,10.4%,5.5%,7.8%,2.6%,4.0%,-2.1%,0.4%,-12.1%,-6.4%,-6.0%,-8.2%
TOTAL,3.5%,4.8%,4.9%,4.6%,5.2%,4.0%,4.8%,4.1%,4.3%,2.2%,4.6%,5.4%,4.7%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,-5.4%,-2.1%,-0.2%,2.8%,3.3%,6.6%,9.5%,9.3%,4.8%,5.5%,5%,6.3%,6.0%
Personal accident,-81,-22,-7.5%,3.1%,0.3%,2.6%,-9.9%,10.7%,3.2%,4.0%,4%,5.8%,7.1%
Other Misc.,,-2.2%,5.2%,6.5%,7.1%,6.4%,8.6%,10.1%,3.3%,,6.0%,,
TOTAL,-8.8%,-2.7%,-0.3%,2.8%,3.3%,6.5%,9.0%,9.3%,4.7%,5.5%,5%,6.3%,6.0%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,-4.7%,-2.7%,-4.7%,-7.2%,-14,-12,-9.0%,-4.8%,-6.8%,-23,-22.9%,-12.6%,-11.3%

