Year,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Individual Agents,20917,24197,27435,30665,33991,38281,44538,47299,50148
Corporate Agents,4512,6212,7745,8859,10191,14203,17461,18820,19850
Brokers,9921,15223,17868,19203,23177,30442,33440,41278,48480
Direct Business,22613,22852,24497,25845,29020,45203,55223,62051,70438
Total,57963,68486,77545,84572,96379,128129,150662,169448,188916

Year,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Individual Agents,36.1%,35.3%,35.4%,36.3%,35.3%,29.9%,29.6%,27.9%,26.5%
Corporate Agents,7.8%,9.1%,10.0%,10.5%,10.6%,11.1%,11.6%,11.1%,10.5%
Brokers,17.1%,22.2%,23.0%,22.7%,24.0%,23.8%,22.2%,24.4%,25.7%
Direct Business,39.0%,33.4%,31.6%,30.6%,30.1%,35.3%,36.7%,36.6%,37.3%
Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%

