,,2016-17,2017-18,2018-19,2019-20,2016-17,2017-18,2018-19,2019-20,2016-17,2017-18,2018-19,2019-20,,,
35.0,Andaman & Nicobar Is.,9,10,10,11,,,7871,7871,43,38,337,42,379944.0,7%,86%
13.0,Andhra Pradesh,511,535,559,576,699307,699307,862957,972782,3659,5031,5272,5521,50396150.0,11%,68%
31.0,Arunachal Pradesh,15,14,12,10,19492,24353,24603,24603,47,55,79,75,1382611.0,26%,67%
19.0,Assam,238,244,246,242,201064,201064,315881,315881,1010,1300,1482,1644,31169272.0,17%,73%
18.0,Bihar,278,280,287,283,486430,486430,530363,611804,2418,2993,1958,2207,103804637.0,25%,64%
23.0,Chandigarh,65,67,66,66,30304,30304,42114,42114,848,800,811,840,1054686.0,17%,86%
15.0,Chhattisgarh,177,173,188,178,290140,290140,304063,329180,1574,2183,2929,3703,25540196.0,23%,71%
28.0,Dadra & Nagra Haveli,3,4,5,5,26533,,,,38,85,87,103,342853.0,55%,78%
34.0,Daman & Diu,3,3,3,3,,,,,31,30,68,59,242911.0,54%,87%
7.0,Delhi,362,375,382,373,622385,686017,774870,856112,7451,8855,10036,10505,16753235.0,21%,86%
24.0,Goa,62,64,67,63,60895,60895,73170,73170,452,569,682,536,1457723.0,8%,87%
4.0,Gujarat,677,694,721,727,984971,984971,1502899,1502899,9625,13135,13687,14908,60383628.0,19%,79%
9.0,Haryana,333,336,354,364,547396,547396,734163,831610,4018,5506,6501,8026,25353081.0,20%,77%
22.0,Himachal Pradesh,110,114,120,122,110511,110511,153845,165472,647,738,864,938,6856509.0,13%,84%
21.0,Jammu & Kashmir,114,118,114,119,132307,132307,155956,155956,707,973,1073,1026,12548926.0,24%,69%
17.0,Jharkhand,213,206,215,212,241955,241955,297204,328598,1237,1423,2147,2273,32966238.0,22%,68%
3.0,Karnataka,693,710,750,771,1040148,1268881,1544399,1699115,10366,11964,13816,15720,61130704.0,16%,76%
12.0,Kerala,604,611,626,629,570523,570523,781653,781653,4340,5485,6623,6966,33387677.0,5%,94%
36.0,Lakshadweep,1,1,2,2,,,,,1,7,3,11,64429.0,6%,92%
10.0,Madhya Pradesh,519,472,487,448,565053,707047,809592,906672,6072,8700,9098,7253,72597565.0,20%,71%
1.0,Maharashtra,1251,1294,1365,1412,2203231,2203231,2632792,2632792,34253,31561,35238,41562,112372972.0,16%,83%
33.0,Manipur,15,13,13,11,18749,18749,27869,27869,33,38,45,62,2721756.0,19%,80%
27.0,Meghalaya,30,30,32,31,27305,27305,33481,36572,86,192,206,133,2964007.0,28%,75%
29.0,Mizoram,14,13,13,11,14204,14204,19520,19520,43,79,94,85,1091014.0,23%,92%
32.0,Nagaland,16,13,14,13,20524,20524,27283,27283,43,53,80,72,1980602.0,0%,80%
14.0,Odisha,336,338,356,357,332329,415982,492229,531374,1982,2961,3216,4738,41947358.0,14%,73%
25.0,Puducherry,36,38,40,42,26533,32222,36656,40802,197,252,271,271,1244464.0,28%,87%
16.0,Punjab,483,489,490,489,408815,408815,526376,574760,2428,2888,3215,3402,27704236.0,14%,77%
5.0,Rajasthan,556,565,596,568,767167,840263,942586,1020989,5550,7729,9660,11052,68621012.0,21%,67%
30.0,Sikkim,9,9,10,9,16637,16637,28723,32496,106,62,77,80,607688.0,12%,82%
2.0,Tamil Nadu,1280,1264,1277,1209,1338766,1338766,1630208,1845853,10917,13661,15137,16421,72138958.0,16%,80%
11.0,Telangana,344,356,389,396,654294,654294,861031,969604,3994,4996,6002,7190,34269383.0,20%,71%
26.0,Tripura,41,45,47,47,,,49845,55358,127,124,156,243,3671032.0,15%,88%
6.0,Uttar Pradesh,1038,988,996,911,1153795,1339452,1668229,1794508,7625,9382,10551,10951,199581477.0,20%,70%
20.0,Uttarakhand,133,134,135,137,184091,217609,245895,245895,793,1016,989,1281,10116752.0,19%,80%
8.0,West Bengal,570,570,588,528,920000,920000,1089898,1253832,5368,5797,6958,9019,91347736.0,14%,77%
,TOTAL,11139,11190,11575,11375,14715854,15510154,19228224,20714999,128129,150661,169448,188918,1210193422.0,6.88%,28%

