Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,58.4%,68.2%,60.8%,62.7%,65.0%,42.0%,69.6%,75.4%,61.4%,72.7%,60.8%,78.0%,59.2%
Engg.,41.9%,49.4%,38.9%,43.6%,49.4%,27.4%,77.4%,63.2%,53.6%,45.8%,27.8%,52.4%,73.9%
Marine Cargo,77.3%,83.7%,77.8%,68.8%,73.9%,59.5%,68.0%,80.3%,90.4%,75.3%,57.1%,79.7%,63.7%
Marine Hull,78.1%,95.6%,47.8%,115.9%,40.0%,62.9%,23.7%,57.5%,58.6%,105.4%,40.6%,69.5%,50.2%
Motor OD,56.8%,65.7%,60.1%,59.2%,55.7%,53.5%,56.7%,59.8%,67.2%,70.0%,63.8%,72.4%,77.2%
Motor TP,83.0%,85.2%,82.6%,109.8%,128.1%,106.5%,112.6%,96.8%,86.6%,94.0%,96.4%,87.2%,81.6%
Aviation,41.0%,50.9%,43.8%,101.9%,64.1%,39.4%,40.3%,53.5%,123.1%,89.1%,90.2%,154.3%,80.2%
Health,83.2%,94.1%,96.8%,88.5%,83.5%,84.7%,87.3%,89.3%,89.9%,95.4%,83.3%,79.8%,81.9%
Personal accident,67.6%,88.0%,79.4%,61.1%,51.7%,49.2%,54.2%,50.5%,52.0%,60.2%,64.6%,64.1%,69.1%
Liability,28.7%,36.6%,56.1%,34.7%,43.8%,39.4%,25.5%,23.6%,29.8%,26.3%,41.5%,47.3%,38.7%
Other Misc.,51.9%,59.5%,77.8%,53.7%,64.2%,70.5%,74.9%,97.6%,85.9%,91.6%,90.8%,87.7%,90.6%
TOTAL,65.8%,74.8%,73.1%,75.2%,79.4%,68.8%,77.2%,79.7%,77.4%,84.2%,79.6%,80.5%,79.5%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,58.4%,68.2%,60.8%,62.7%,65.0%,42.0%,69.6%,75.4%,61.4%,72.7%,60.8%,78.0%,59.2%
Engg.,41.9%,49.4%,38.9%,43.6%,49.4%,27.4%,77.4%,63.2%,53.6%,45.8%,27.8%,52.4%,73.9%
Marine Cargo,77.3%,83.7%,77.8%,68.8%,73.9%,59.5%,68.0%,80.3%,90.4%,75.3%,57.1%,79.7%,63.7%
Marine Hull,78.1%,95.6%,47.8%,115.9%,40.0%,62.9%,23.7%,57.5%,58.6%,105.4%,40.6%,69.5%,50.2%
Motor OD,56.8%,65.7%,60.1%,59.2%,55.7%,53.5%,56.7%,59.8%,67.2%,70.0%,63.8%,72.4%,77.2%
Motor TP,83.0%,85.2%,82.6%,109.8%,128.1%,106.5%,112.6%,96.8%,86.6%,94.0%,96.4%,87.2%,81.6%
Aviation,41.0%,50.9%,43.8%,101.9%,64.1%,39.4%,40.3%,53.5%,123.1%,89.1%,90.2%,154.3%,80.2%
Health,84.0%,95.3%,100.0%,89.1%,84.1%,88.3%,92.1%,95.6%,96.8%,104.8%,91.2%,87.5%,90.3%
Personal accident,67.1%,88.2%,78.2%,61.0%,51.6%,49.8%,55.4%,51.8%,53.9%,63.2%,68.7%,68.5%,75.1%
Liability,28.7%,36.6%,56.1%,34.7%,43.8%,39.4%,25.5%,23.6%,29.8%,26.3%,41.5%,47.3%,38.7%
Other Misc.,47.8%,45.5%,51.6%,34.2%,39.8%,40.6%,52.2%,79.2%,88.1%,77.1%,84.0%,85.5%,92.0%
TOTAL,66.2%,74.4%,71.0%,74.8%,78.7%,67.1%,76.5%,78.6%,78.2%,83.1%,79.5%,81.7%,80.9%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,56.3%,80.8%,74.9%,84.4%,79.6%,54.7%,53.2%,51.3%,53.6%,52.4%,52.8%,54.9%,58.6%
Personal accident,84.9%,79.6%,160.8%,63.2%,56.0%,24.5%,15.5%,19.6%,23.8%,20.8%,21.4%,25.9%,24.8%
Other Misc.,,41.6%,39.5%,57.7%,39.7%,14.5%,37.3%,20.1%,59.1%,,34.2%,,
TOTAL,59.8%,80.6%,75.9%,83.9%,79.0%,53.9%,52.2%,50.2%,52.5%,51.0%,51.2%,53.5%,57.1%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,58.2%,81.2%,109.4%,77.4%,91.7%,101.3%,100.8%,125.0%,83.4%,124.1%,107.7%,94.5%,86.9%

