Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,7.1%,6.5%,6.6%,6.3%,6.5%,6.6%,7.3%,7.6%,8.5%,7.9%,9.4%,11.7%,11.1%
Engg.,6.2%,5.9%,5.9%,6.2%,6.6%,6.3%,6.6%,6.5%,6.6%,7.4%,8.7%,10.2%,10.8%
Marine Cargo,13.0%,12.0%,11.1%,11.1%,10.4%,11.4%,11.2%,11.3%,10.1%,11.0%,11.9%,12.8%,11.9%
Marine Hull,1.9%,1.8%,1.7%,1.8%,3.7%,2.4%,2.6%,2.4%,2.1%,2.9%,3.5%,4.0%,5.4%
Motor OD,8.6%,9.2%,8.5%,7.2%,7.2%,8.1%,8.3%,7.6%,7.7%,7.8%,14.9%,18.2%,18.7%
Motor TP,1.2%,1.0%,1.4%,0.2%,0.1%,0.1%,0.0%,0.0%,0.1%,0.1%,0.5%,1.2%,1.7%
Aviation,1.1%,1.4%,2.2%,2.4%,2.1%,2.1%,2.8%,2.5%,3.4%,3.5%,5.3%,5.7%,6.4%
Health,10.1%,9.4%,7.8%,6.7%,6.9%,6.5%,7.2%,8.6%,7.7%,7.6%,8.1%,8.0%,8.5%
Personal accident,10.1%,10.5%,10.6%,10.3%,10.1%,9.8%,9.8%,10.4%,10.0%,8.6%,8.6%,8.2%,9.3%
Liability,13.4%,12.4%,11.7%,11.1%,10.8%,10.8%,11.6%,12.2%,11.4%,10.7%,11.6%,12.0%,12.0%
Other Misc.,6.8%,7.4%,6.0%,4.8%,5.1%,4.5%,4.7%,4.0%,3.8%,2.0%,2.7%,1.9%,1.7%
TOTAL,6.9%,6.8%,6.3%,5.5%,5.3%,5.7%,5.9%,6.0%,5.9%,5.1%,6.9%,7.4%,7.5%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Fire,7.1%,6.5%,6.6%,6.3%,6.5%,6.6%,7.3%,7.6%,8.5%,7.9%,9.4%,11.7%,11.1%
Engg.,6.2%,5.9%,5.9%,6.2%,6.6%,6.3%,6.6%,6.5%,6.6%,7.4%,8.7%,10.2%,10.8%
Marine Cargo,13.0%,12.0%,11.1%,11.1%,10.4%,11.4%,11.2%,11.3%,10.1%,11.0%,11.9%,12.8%,11.9%
Marine Hull,1.9%,1.8%,1.7%,1.8%,3.7%,2.4%,2.6%,2.4%,2.1%,2.9%,3.5%,4.0%,5.4%
Motor OD,8.6%,9.2%,8.5%,7.2%,7.2%,8.1%,8.3%,7.6%,7.7%,7.8%,14.9%,18.2%,18.7%
Motor TP,1.2%,1.0%,1.4%,0.2%,0.1%,0.1%,0.0%,0.0%,0.1%,0.1%,0.5%,1.2%,1.7%
Aviation,1.1%,1.4%,2.2%,2.4%,2.1%,2.1%,2.8%,2.5%,3.4%,3.5%,5.3%,5.7%,6.4%
Health,10.4%,9.9%,8.5%,7.1%,7.0%,6.2%,6.8%,7.5%,7.0%,6.7%,7.1%,6.6%,6.9%
Personal accident,10.3%,10.7%,10.7%,10.4%,10.2%,9.8%,9.7%,10.3%,10.0%,8.4%,8.3%,7.9%,9.2%
Liability,13.4%,12.4%,11.7%,11.1%,10.8%,10.8%,11.6%,12.2%,11.4%,10.7%,11.6%,12.0%,12.0%
Other Misc.,11.1%,12.0%,10.6%,8.2%,8.9%,8.1%,8.1%,6.1%,6.5%,2.8%,3.7%,2.4%,2.2%
TOTAL,7.2%,7.2%,6.8%,5.8%,5.5%,5.9%,6.1%,5.9%,5.9%,5.2%,7.0%,7.4%,7.5%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Health,1.6%,2.9%,2.8%,4.0%,5.9%,8.9%,10.1%,15.6%,11.4%,11.6%,11.9%,12.6%,12.7%
Personal accident,1.3%,3.1%,5.7%,4.7%,6.0%,8.7%,12.2%,11.2%,10.4%,11.1%,10.9%,10.2%,9.7%
Other Misc.,,0.0%,4.9%,6.7%,7.4%,7.5%,9.0%,8.6%,7.0%,,16.8%,,
TOTAL,1.5%,2.9%,2.9%,4.0%,5.9%,8.9%,10.2%,15.4%,11.3%,11.6%,11.9%,12.5%,12.6%

Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20
Other Misc.,0.3%,0.3%,0.4%,0.6%,0.8%,0.8%,0.8%,0.8%,0.6%,0.1%,0.2%,0.2%,0.4%

