Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,52.2%,48.5%,49.3%,44.9%,38.5%,39.3%,36.7%,36.3%,34.8%,32.5%
Engg.,50.5%,48.1%,48.3%,47.2%,49.2%,46.5%,43.5%,40.8%,38.5%,38.2%
Marine Cargo,72.8%,73.6%,73.2%,70.9%,69.3%,67.9%,62.9%,67.4%,68.3%,64.5%
Marine Hull,23.9%,31.0%,25.9%,16.7%,25.1%,23.2%,26.0%,24.0%,27.4%,30.1%
Motor OD,91.2%,90.4%,90.1%,86.8%,87.6%,84.7%,81.9%,86.1%,84.4%,82.8%
Motor TP,90.2%,91.8%,92.4%,89.7%,87.6%,90.3%,88.7%,88.4%,90.2%,90.0%
Aviation,19.6%,24.3%,23.6%,57.4%,31.0%,31.1%,42.0%,35.0%,30.3%,29.7%
Health,88.9%,90.8%,89.6%,85.2%,79.8%,79.8%,80.1%,85.2%,86.2%,87.8%
Personal accident,86.0%,86.9%,84.1%,83.4%,83.8%,82.0%,83.9%,80.5%,73.9%,78.9%
Liability,69.8%,69.8%,63.7%,62.8%,62.5%,59.6%,57.0%,54.7%,55.6%,52.1%
Other Misc.,59.6%,57.5%,59.4%,32.3%,32.8%,30.3%,28.7%,45.1%,45.3%,41.2%
TOTAL,78.1%,78.9%,79.5%,70.2%,68.6%,68.4%,66.7%,71.1%,72.0%,73.9%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,52.2%,48.5%,49.3%,44.9%,38.5%,39.3%,36.7%,36.3%,34.8%,32.5%
Engg.,50.5%,48.1%,48.3%,47.2%,49.2%,46.5%,43.5%,40.8%,38.5%,38.2%
Marine Cargo,72.8%,73.6%,73.2%,70.9%,69.3%,67.9%,62.9%,67.4%,68.3%,64.5%
Marine Hull,23.9%,31.0%,25.9%,16.7%,25.1%,23.2%,26.0%,24.0%,27.4%,30.1%
Motor OD,91.2%,90.4%,90.1%,86.8%,87.6%,84.7%,81.9%,86.1%,84.4%,82.8%
Motor TP,90.2%,91.8%,92.4%,89.7%,87.6%,90.3%,88.7%,88.4%,90.2%,90.0%
Aviation,19.6%,24.3%,23.6%,57.4%,31.0%,31.1%,42.0%,35.0%,30.3%,29.7%
Health,89.5%,91.8%,91.7%,86.3%,80.0%,80.2%,81.8%,88.1%,85.7%,87.1%
Personal accident,86.5%,87.4%,84.6%,83.9%,84.2%,81.9%,83.6%,79.5%,72.3%,77.8%
Liability,69.8%,69.8%,63.7%,62.8%,62.5%,59.6%,57.0%,54.7%,55.6%,52.1%
Other Misc.,61.7%,54.4%,55.0%,32.6%,34.4%,30.5%,29.1%,39.7%,40.6%,36.4%
TOTAL,79.2%,79.5%,80.3%,72.3%,70.6%,69.7%,68.3%,71.7%,71.9%,71.7%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Health,84.6%,84.9%,79.1%,80.4%,79.2%,78.2%,75.6%,77.0%,87.6%,89.8%
Personal accident,70.9%,74.7%,76.3%,77.5%,79.4%,82.8%,85.7%,87.8%,86.7%,87.8%
Other Misc.,86.5%,86.4%,87.5%,-,80.5%,-,-,-,-,-
TOTAL,84.2%,84.6%,79.0%,80.3%,79.3%,78.4%,76.0%,77.5%,87.6%,89.8%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Other Misc.,57.1%,62.2%,64.7%,31.7%,28.7%,29.8%,27.7%,55.0%,51.9%,49.2%

