Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,4702,4621,5022,5050,5124,5170,6237,7792,8450,8
Engg.,1448,1394,1317,1280,1160,1222,1225,1236,1384,1496
Marine Cargo,1596,1790,1659,1665,1619,1716,1792,1741,2155,2563
Marine Hull,282,312,364,251,143,183,205,231,262,313
Motor OD,16990,18330,19515,21049,23032,24001,23741,22726,24331,26153
Motor TP,12558,15210,17982,21544,26118,31211,36533,36530,38368,42490
Aviation,143,144,160,158,176,194,353,414,372,394
Health,14404,17117,20675,25376,28531,33879,39551,44291,58871,73798
Personal accident,1402,1654,1990,2582,3326,3967,4242,4349,5180,5097
Liability,861,921,1195,1322,1198,1420,1481,1427,1759,2321
Other Misc.,5623,5936,5998,8447,10025,10372,10819,16882,16868,16147
TOTAL,60010,67428,75878,88725,100453,113334,126179,137620,158002,179678

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,4702,4621,5022,5050,5124,5170,6237,7792,8450,8907
Engg.,1448,1394,1317,1280,1160,1222,1225,1236,1384,1496
Marine Cargo,1596,1790,1659,1665,1619,1716,1792,1741,2155,2563
Marine Hull,282,312,364,251,143,183,205,231,262,313
Motor OD,16990,18330,19515,21049,23032,24001,23741,22726,24331,26153
Motor TP,12558,15210,17982,21544,26118,31211,36533,36530,38368,42490
Aviation,143,144,160,158,176,194,353,414,372,394
Health,12881,15028,17762,21323,23161,26459,29993,35743,43390,53671
Personal accident,1367,1602,1883,2399,3060,3559,3766,3912,4575,4412
Liability,861,921,1195,1322,1198,1420,1481,1427,1759,2320
Other Misc.,3063,3310,3136,5572,7364,7865,8142,9238,9140,8441
TOTAL,55891,62661,69996,81614,92156,103000,113467,120990,134187,151159

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Health,1523,2089,2913,4053,5369,7420,9557,8548,15481,20127
Personal accident,35,52,106,183,267,408,477,437,606,685
Other Misc.,6,8,21,-,42,-,-,-,-,-
TOTAL,1564,2149,3041,4236,5678,7828,10034,8986,16087,20812

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Other Misc.,2555,2618,2841,2875,2619,2506,2677,7644,7729,7707

