Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,6.1%,9.2%,8.6%,6.2%,4.1%,6.6%,0.5%,1.3%,-3.3%,-9.5%
Engg.,0.0%,-3.1%,-2.0%,-2.3%,3.1%,1.3%,4.5%,0.1%,2.5%,-1.4%
Marine Cargo,10.9%,10.5%,10.7%,10.1%,12.4%,13.5%,12.9%,13.3%,13.6%,14.4%
Marine Hull,-3.6%,-4.9%,-3.2%,-1.6%,1.6%,1.4%,3.9%,1.4%,0.5%,0.3%
Motor OD,7.8%,6.2%,6.7%,6.2%,14.5%,17.0%,17.6%,18.3%,16.6%,18.6%
Motor TP,-0.7%,-0.5%,-0.4%,-1.1%,-1.0%,0.6%,0.3%,0.3%,0.5%,0.7%
Aviation,2.9%,10.3%,7.4%,11.2%,11.1%,4.6%,7.1%,11.8%,5.0%,5.4%
Health,5.3%,5.6%,5.1%,3.7%,4.3%,4.1%,4.3%,6.4%,6.1%,7.8%
Personal accident,7.8%,8.4%,5.0%,3.6%,3.0%,1.4%,4.9%,4.7%,0.5%,3.6%
Liability,14.5%,14.9%,13.6%,12.6%,14.3%,12.2%,9.2%,10.6%,6.9%,5.7%
Other Misc.,-1.9%,-3.3%,-3.0%,-15.8%,-10.6%,-7.6%,-9.0%,-3.8%,-2.8%,10.5%
TOTAL,4.3%,4.0%,3.9%,1.6%,3.9%,5.0%,4.5%,5.2%,4.8%,4.7%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,6.1%,9.2%,8.6%,6.2%,4.1%,6.6%,0.5%,1.3%,-3.3%,-9.5%
Engg.,0.0%,-3.1%,-2.0%,-2.3%,3.1%,1.3%,4.5%,0.1%,2.5%,-1.4%
Marine Cargo,10.9%,10.5%,10.7%,10.1%,12.4%,13.5%,12.9%,13.3%,13.6%,14.4%
Marine Hull,-3.6%,-4.9%,-3.2%,-1.6%,1.6%,1.4%,3.9%,1.4%,0.5%,0.5%
Motor OD,7.8%,6.2%,6.7%,6.2%,14.5%,17.0%,17.6%,18.3%,16.6%,18.6%
Motor TP,-0.7%,-0.5%,-0.4%,-1.1%,-1.0%,0.6%,0.3%,0.3%,0.5%,0.7%
Aviation,2.9%,10.3%,7.4%,11.2%,11.1%,4.6%,7.1%,11.8%,5.0%,5.4%
Health,4.8%,5.1%,5.2%,3.3%,4.1%,3.4%,3.7%,5.9%,4.6%,3.6%
Personal accident,8.3%,8.3%,5.1%,3.6%,2.9%,0.9%,4.6%,3.7%,-1.5%,2.2%
Liability,14.5%,14.9%,13.6%,12.6%,14.3%,12.2%,9.2%,10.6%,6.9%,5.7%
Other Misc.,4.0%,-2.1%,0.4%,-12.1%,-6.4%,-6.0%,-8.2%,-4.9%,-2.6%,-7.3%
TOTAL,4.8%,4.1%,4.3%,2.2%,4.6%,5.4%,4.7%,4.8%,4.5%,4.1%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Health,9.5%,9.3%,4.8%,5.5%,5.0%,6.3%,6.0%,8.7%,9.9%,10.9%
Personal accident,-9.9%,10.7%,3.2%,4.0%,4.0%,5.8%,7.1%,13.9%,14.1%,13.3%
Other Misc.,8.6%,10.1%,3.3%,-,6.0%,-,-,-,-,-
TOTAL,9.0%,9.3%,4.7%,5.5%,5.0%,6.3%,6.0%,9.0%,10.0%,11.0%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Other Misc.,-9.0%,-4.8%,-6.8%,-23.1%,-22.9%,-12.6%,-11.3%,-2.4%,-3.0%,-1.7%

