Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Gross Direct Premium,79935.76,87151.37,99332.95,130970.11,153437.54,172482.74,192192.59,202094.36,224002,260328
Gross Written Premium,83026.51,90364.55,102395.77,134177.33,156629.01,175899.19,195201.61,206905.70,229792,266591
Gross Earned Premium,78698.26,86436.43,96049.98,118181.77,145079.53,166407.40,185396.17,200844.08,218139,248310
Gross Direct Claims,64132.59,72046.74,79256.69,112962.62,124708.49,138826.94,152737.58,148031.96,178909,190231
Gross Direct Claims as % to GEP,81.49%,83.35%,82.52%,95.58%,85.96%,83.43%,82.38%,73.70%,82.0%,76.6%
Gross Direct Commission,4927.10,5295.17,5995.99,6882.19,10730.57,12719.49,14411.87,15992.39,16193,20515
Gross Direct Commission as % to GWP,5.93%,5.86%,5.86%,5.13%,6.85%,7.23%,7.38%,7.73%,7.0%,7.7%
Expenses of Management,16039.20,20324.31,23062.00,26827.00,26329.00,30604.00,42045.45,43545.00,46551,54689
Expenses of Management as % to GWP,19.32%,22.49%,22.52%,19.99%,16.81%,17.40%,21.54%,21.05%,20.3%,20.5%
Underwriting Surplus/(Deficit),"(6,400.63)","(11,229.80)","(12,264.70)","(28,490.03)","(16,688.52)","(15,743.04)","(23,798.73)","(6,725.27 )","(23,514)","(17,125)"
Underwriting Surplus/(Deficit) as % to GEP,-8.13%,-12.99%,-12.77%,-24.11%,-11.50%,-9.46%,-12.84%,-3.35%,-10.8%,-6.9%

