Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Individual Agents,27435,30779,33991,38281,44538,47299,50148,53629,55724,60714
Corporate Agents,7745,8859,10191,14203,17461,18820,19850,19250,19718,23107
Brokers,17868,19203,23177,30442,33440,41278,48480,57254,72306,88824
Direct Business,24477,25845,29020,45203,55223,62051,70438,68583,72952,84249
Total,77525,84686,96379,128129,150662,169448,188916,198714,220700,256894

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Individual Agents,35.4%,36.3%,35.3%,29.9%,29.6%,27.9%,26.5%,27.0%,25.2%,23.6%
Corporate Agents,10.0%,10.5%,10.6%,11.1%,11.6%,11.1%,10.5%,9.7%,8.9%,9.0%
Brokers,23.0%,22.7%,24.0%,23.8%,22.2%,24.4%,25.7%,28.8%,32.8%,34.6%
Direct Business,31.6%,30.5%,30.1%,35.3%,36.7%,36.6%,37.3%,34.5%,33.1%,32.8%
Total,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%

