Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
No. of Offices,9850,10381,10710,11061,11160,11575,11375,11248,10786,9928
No. of Employees,104968,106776,112536,116657,126638,135308,141631,142944,153916,162906
No.of Agents,516764,590479,600036,664856,826211,1012420,1238691,1454759,1610712,1860320
No.of Policies,116684458,126066389,126488513,161177462,182753266,190538989,241648383,250636046,267914339,304719280
No .of Claims,24314712,24095470,28827034,32143460,30881598,36311387,52250584,40250871,63068419,61317646
GDPI (Rs in Crores),77525.17,84685.69,96379.39,128128.39,150662.00,169448.44,188916.15,198715.44,220700.11,256898
Avg No. of Employees per Office,10,10,10,10,11,11,12,12,14,16
Avg No. of Policies per Office,11846.14,12143.95,11810.32,14571.69,16375.74,16461.25,21243.81,22282.72,24839.08,30692.917
Avg No. of Policies per Employee,1111.62,1180.66,1123.98,1381.64,1443.11,1408.19,1706.18,1753.39,1740.65,1870.522
Avg. GDPI per Office in Crs.,7,8,8,11,13,14,16,17,20,25
Avg. GDPI per Employee in Crs.,0,0,1,1,1,1,1,1,1,1

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
No. of Offices,9372,9839,10107,10385,10300,10607,10183,10012,9349,8330
No. of Employees,92952,93279,96894,95824,99714,105180,107493,108341,112738,117567
No.of Agents,366102,388367,365009,373538,427672,491323,557096,682314,646607,676774
No.of Policies,113159723,122418889,121725732,149795363,165087224,175424456,199361042,195268468,206239249,230358911
No .of Claims,11852188,13441116,13446738,18580720,23487554,29631.801,36542938,32721756,41527365,39803402
GDPI (Rs in Crores),70581.40,77641.03,87384.78,114023.36,133214.02,149945.99,164006.60,169845.38,184786.09,214833.09
Avg No. of Employees per Office,9,9,9,9,9,9,10,10,12,14
Avg No. of Policies per Office,12074.23,12442.21,12043.71,14424.20,16027.89,16538.56,19577.83,19503.44,22060.03,27654.13
Avg No. of Policies per Employee,1217.40,1312.39,1256.28,1563.23,1655.61,1667.85,1854.64,1802.35,1829.37,1959.38
Avg. GDPI per Office in Crs.,7,7,8,10,12,14,16,16,19,25
Avg. GDPI per Employee in Crs.,0,0,0,1,1,1,1,1,1,1

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
No. of Offices,395,458,520,593,774,882,1106,1150,1364,1526
No. of Employees,11136,12625,14755,19947,25990,29208,33266,33774,40337,44475
No.of Agents,150442,201885,234871,291201,398405,520948,681432,772227,963896,1158676
No.of Policies,2295113,2871613,3685901,4826676,5920177,7228490,9700331,13542751,14114802,16703327
No .of Claims,155585,512799,651782,784100,1131339,1852732,2814046,2058518,3424779,3805970
GDPI (Rs in Crores),2245.03,2942.56,4152.66,5857.84,8314.17,11354.03,14472.89,15755.24,20867.20,26243.84
Avg No. of Employees per Office,28,27,28,33,33,33,30,29,29,29
Avg No. of Policies per Office,5810.41,6269.90,7088.27,8139.42,7648.81,8195.57,8770.64,11776.31,10348.10,10945
Avg No. of Policies per Employee,206,227,249,241,227,247,291,400,349,376
Avg. GDPI per Office in Crs.,5,6,7,9,10,12,13,13,15,17
Avg. GDPI per Employee in Crs.,0,0,0,0,0,0,0,0,0,0

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
No. of Offices,83,84,83,83,86,86,86,86,73,72
No. of Employees,880,872,887,886,934,920,872,829,841,864
No.of Agents,220,227,156,117,134,149,163,218,209,50
No.of Policies,1229622,775887,1076880,6555423,11745865,7886043,32587010,41824827,47560288,57656935
No .of Claims,12306939,10141555,14728514,12778640,6262705,4826853,12893600,5470597,18116275,17708274
GDPI (Rs in Crores),4698.74,4102.10,4841.95,8247.19,9133.81,8148.41,10436.65,13114.82,15046.82,15817.32
Avg No. of Employees per Office,10,10,10,10,10,10,10,9,11,12
Avg No. of Policies per Office,14814.72,9236.75,12974.46,78981.00,136579.83,91698.17,378918.72,486335.20,651510.79,800790.76
Avg No. of Policies per Employee,1397.30,889,1214.07,7398.90,12575.87,8571.79,37370.42,50452.14,56552.07,66732.56
Avg. GDPI per Office in Crs.,99,48,58,99,106,94,121,152,206,219
Avg. GDPI per Employee in Crs.,5,4,5,9,9,8,11,15,17,18

