Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,9703,10517,11358,12207,13570,14660,18647,23679,25643,28543
Engg.,2943,2730,2732,2615,2542,2738,2903,3249,3857,4673
Marine Cargo,2159,2188,2248,2238,2356,2583,2851,2631,3357,3982
Marine Hull,1326,1163,963,890,714,885,871,1092,1104,1349
Motor OD,19607,20755,22731,25160,27763,28108,28429,27838,28780,33345
Motor TP,15508,18006,21293,26649,32960,38057,42673,42516,43788,50267
Aviation,630,597,611,604,591,812,999,1146,1204,1209
Health,17851,20615,25037,31164,38006,45956,52101,59276,74993,91826
Personal accident,1893,2230,2678,3718,4467,5504,5188,5156,6997,7122
Liability,1362,1367,1942,2141,2005,2421,2623,2721,3641,4267
Other Misc.,10045,10196,10803,26790,31655,34175,37917,37599,36428,40008
TOTAL,83027,90365,102396,134177,156629,175899,195202,206906,229792,266591

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,9703,10517,11358,12207,13570,14660,18647,23679,25643,28543
Engg.,2943,2730,2732,2615,2542,2738,2903,3249,3857,4673
Marine Cargo,2159,2188,2248,2238,2356,2583,2851,2631,3357,3982
Marine Hull,1326,1163,963,890,714,885,871,1092,1104,1349
Motor OD,19607,20755,22731,25160,27763,28108,28429,27838,28780,33345
Motor TP,15508,18006,21293,26649,32960,38057,42673,42516,43788,50267
Aviation,630,597,611,604,591,812,999,1146,1204,1210
Health,15668,17718,20994,25575,30123,35146,38225,44113,54837,66272
Personal accident,1838,2136,2508,3451,4072,4943,4571,4536,6219,6336
Liability,1362,1367,1942,2141,2005,2421,2623,2721,3641,4267
Other Misc.,5339,6083,5935,18534,22462,26020,27480,24485,21381,24075
TOTAL,76083,83262,93315,120066,139159,156373,170272,178007,193812,224319

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Health,2183,2896,4043,5589,7882,10811,13876,15163,20156,25553
Personal accident,55,94,170,267,395,561,617,621,778,787
Other Misc.,7,11,26,0,56,0,0,0,0,0
TOTAL,2245,3001,4239,5856,8333,11372,14493,15783,20934,26340

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Other Misc.,4699,4102,4842,8256,9137,8154,10437,13115,15047,15932

