Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,7.3%,7.6%,8.5%,7.9%,9.4%,11.7%,11.1%,11.3%,11.3%,9.6%
Engg.,6.6%,6.5%,6.6%,7.4%,8.7%,10.2%,10.8%,10.7%,10.3%,9.1%
Marine Cargo,11.2%,11.3%,10.1%,11.0%,11.9%,12.8%,11.9%,12.7%,13.1%,12.4%
Marine Hull,2.6%,2.4%,2.1%,2.9%,3.5%,4.0%,5.4%,3.5%,4.1%,3.3%
Motor OD,8.3%,7.6%,7.7%,7.8%,14.9%,18.2%,18.7%,18.3%,18.2%,18.5%
Motor TP,0.0%,0.0%,0.1%,0.1%,0.5%,1.2%,1.7%,2.0%,1.8%,1.9%
Aviation,2.8%,2.5%,3.4%,3.5%,5.3%,5.7%,6.4%,11.4%,4.6%,2.6%
Health,7.2%,8.6%,7.7%,7.6%,8.1%,8.0%,8.5%,9.1%,8.5%,8.3%
Personal accident,9.8%,10.4%,10.0%,8.6%,8.6%,8.2%,9.3%,9.2%,8.8%,9.4%
Liability,11.6%,12.2%,11.4%,10.7%,11.6%,12.0%,12.0%,12.6%,11.4%,10.9%
Other Misc.,4.7%,4.0%,3.8%,2.0%,2.7%,1.9%,1.7%,2.0%,2.4%,2.3%
TOTAL,5.9%,6.0%,5.9%,5.1%,6.9%,7.4%,7.5%,7.9%,7.9%,7.7%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Fire,7.3%,7.6%,8.5%,7.9%,9.4%,11.7%,11.1%,11.3%,11.3%,9.6%
Engg.,6.6%,6.5%,6.6%,7.4%,8.7%,10.2%,10.8%,10.7%,10.3%,9.1%
Marine Cargo,11.2%,11.3%,10.1%,11.0%,11.9%,12.8%,11.9%,12.7%,13.1%,12.4%
Marine Hull,2.6%,2.4%,2.1%,2.9%,3.5%,4.0%,5.4%,3.5%,4.1%,3.3%
Motor OD,8.3%,7.6%,7.7%,7.8%,14.9%,18.2%,18.7%,18.3%,18.2%,18.5%
Motor TP,0.0%,0.0%,0.1%,0.1%,0.5%,1.2%,1.7%,2.0%,1.8%,1.9%
Aviation,2.8%,2.5%,3.4%,3.5%,5.3%,5.7%,6.4%,11.4%,4.6%,2.6%
Health,6.8%,7.5%,7.0%,6.7%,7.1%,6.6%,6.9%,7.5%,6.8%,6.4%
Personal accident,9.7%,10.3%,10.0%,8.4%,8.3%,7.9%,9.2%,8.6%,8.0%,8.6%
Liability,11.6%,12.2%,11.4%,10.7%,11.6%,12.0%,12.0%,12.6%,11.4%,10.9%
Other Misc.,8.1%,6.1%,6.5%,2.8%,3.7%,2.4%,2.2%,2.9%,3.6%,3.2%
TOTAL,6.1%,5.9%,5.9%,5.2%,7.0%,7.4%,7.5%,8.0%,7.9%,7.5%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Health,10.1%,15.6%,11.4%,11.6%,11.9%,12.6%,12.7%,13.5%,13.1%,13.2%
Personal accident,12.2%,11.2%,10.4%,11.1%,10.9%,10.2%,9.7%,14.0%,14.8%,14.8%
Other Misc.,9.0%,8.6%,7.0%,-,16.8%,-,-,-,-,-
TOTAL,10.2%,15.4%,11.3%,11.6%,11.9%,12.5%,12.6%,13.6%,13.2%,13.2%

Year,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Other Misc.,0.8%,0.8%,0.6%,0.1%,0.2%,0.2%,0.4%,0.5%,0.6%,0.9%

